 ,Major1,Minor1,Angle1,Major2,Minor2,Angle2
217,33.162,23.996,8.041,32.496,19.199,156.507
218,33.162,23.996,8.041,32.496,19.199,156.507
219,33.162,23.996,8.041,32.496,19.199,156.507
220,33.162,23.996,8.041,32.496,19.199,156.507
221,33.162,23.996,8.041,32.496,19.199,156.507
222,33.162,23.996,8.041,32.496,19.199,156.507
223,33.162,23.996,8.041,32.496,19.199,156.507
224,33.162,23.996,8.041,32.496,19.199,156.507
225,33.162,23.996,8.041,32.496,19.199,156.507
226,33.162,23.996,8.041,32.496,19.199,156.507
227,33.162,23.996,8.041,32.496,19.199,156.507
228,33.162,23.996,8.041,32.496,19.199,156.507
229,33.162,23.996,8.041,32.496,19.199,156.507
230,33.162,23.996,8.041,32.496,19.199,156.507
231,33.162,23.996,8.041,32.496,19.199,156.507
232,33.162,23.996,8.041,32.496,19.199,156.507
233,33.162,23.996,8.041,32.496,19.199,156.507
234,33.162,23.996,8.041,32.496,19.199,156.507
235,33.162,23.996,8.041,32.496,19.199,156.507
236,33.162,23.996,8.041,32.496,19.199,156.507
237,33.162,23.996,8.041,32.496,19.199,156.507
238,33.162,23.996,8.041,32.496,19.199,156.507
239,33.162,23.996,8.041,32.496,19.199,156.507
240,33.162,23.996,8.041,32.496,19.199,156.507
241,33.162,23.996,8.041,32.496,19.199,156.507
242,33.162,23.996,8.041,32.496,19.199,156.507
243,33.162,23.996,8.041,32.496,19.199,156.507
244,33.162,23.996,8.041,32.496,19.199,156.507
245,33.162,23.996,8.041,32.496,19.199,156.507
246,33.162,23.996,8.041,32.496,19.199,156.507
247,33.162,23.996,8.041,32.496,19.199,156.507
248,33.162,23.996,8.041,32.496,19.199,156.507
249,33.162,23.996,8.041,32.496,19.199,156.507
250,33.162,23.996,8.041,32.496,19.199,156.507
251,33.162,23.996,8.041,32.496,19.199,156.507
252,33.162,23.996,8.041,32.496,19.199,156.507
253,33.162,23.996,8.041,32.496,19.199,156.507
254,33.162,23.996,8.041,32.496,19.199,156.507
255,33.162,23.996,8.041,32.496,19.199,156.507
256,33.162,23.996,8.041,32.496,19.199,156.507
257,33.162,23.996,8.041,32.496,19.199,156.507
258,33.162,23.996,8.041,32.496,19.199,156.507
259,33.162,23.996,8.041,32.496,19.199,156.507
260,33.162,23.996,8.041,32.496,19.199,156.507
261,33.162,23.996,8.041,32.496,19.199,156.507
262,33.162,23.996,8.041,32.496,19.199,156.507
263,33.162,23.996,8.041,32.496,19.199,156.507
264,33.162,23.996,8.041,32.496,19.199,156.507
265,33.162,23.996,8.041,32.496,19.199,156.507
266,33.162,23.996,8.041,32.496,19.199,156.507
267,33.162,23.996,8.041,32.496,19.199,156.507
268,33.162,23.996,8.041,32.496,19.199,156.507
269,33.162,23.996,8.041,32.496,19.199,156.507
270,33.162,23.996,8.041,32.496,19.199,156.507
271,33.162,23.996,8.041,32.496,19.199,156.507
